instance,scenario,idle_ratio,stage,method,seed,hv,igd_plus,cmin,emin,compromise_c,compromise_e,archive_size,seconds,evaluations
mk01,independent,0.15,ablation,no-critical,1009,1.0829380502070933,0.020617192178413887,44,470.95,46,492.925,6,0.6236270000226796,6000
mk01,independent,0.15,ablation,no-critical,1010,1.0940336396431172,0.02507508599721754,43,475.7125,46,494.05,10,0.5747839000541717,6000
mk01,independent,0.15,ablation,no-critical,1011,1.1110013212392928,0.029251212260668794,42,474.6625,46,499,11,0.6398113998584449,6000
mk01,independent,0.15,ablation,no-critical,1012,1.0380037410370986,0.034240206431830685,46,465.875,46,499.4125,11,0.6866335000377148,6000
mk01,independent,0.15,ablation,no-critical,1013,1.0592431822567958,0.02676447526286455,45,470.3875,46,496.3,7,0.4159716998692602,6000
mk01,independent,0.15,ablation,no-critical,1014,1.083827437241134,0.031754144224267894,43,478.5625,46,498.925,8,0.5341966999694705,6000
mk01,independent,0.15,ablation,no-critical,1015,1.110745980611927,0.025307063299373413,42,473.4125,46,503.1,10,0.6047068000771105,6000
mk01,independent,0.15,ablation,no-critical,1016,1.0419839372930926,0.03860025052804924,45,473.9125,47,495.625,7,0.6172336998861283,6000
mk01,independent,0.15,ablation,no-critical,1017,1.0627854396460865,0.03664459678521441,44,476.575,46,507.3,11,0.5817368999123573,6000
mk01,independent,0.15,ablation,no-critical,1018,1.0873005151348705,0.031043499767953505,43,472.925,46,505.2,10,0.6068413998000324,6000
mk01,independent,0.15,ablation,no-critical,1019,1.08043586051276,0.022080351322791333,44,471.5125,46,495.7,8,0.6802609001751989,6000
mk01,independent,0.15,ablation,no-critical,1020,1.1276392868276899,0.012539896973025953,42,471.35,46,492.4,9,0.6086248999927193,6000
mk01,independent,0.15,ablation,no-critical,1021,1.0947907542940278,0.025944200245353762,43,473.4125,46,502.575,10,0.5572723001241684,6000
mk01,independent,0.15,ablation,no-critical,1022,1.1019389557755974,0.03189496905394626,42,479.975,46,504.6375,12,0.6394328000023961,6000
mk01,independent,0.15,ablation,no-critical,1023,1.0813881919805228,0.023982901220262108,44,470.425,46,500.575,12,0.6721602999605238,6000
mk01,independent,0.15,ablation,no-critical,1024,1.1076995590920564,0.015718838281321167,43,469.05,46,492.4,8,0.6512617999687791,6000
mk01,independent,0.15,ablation,no-critical,1025,1.1155967102626154,0.024266992561761437,42,473.65,47,496.0375,11,0.5731887000147253,6000
mk01,independent,0.15,ablation,no-critical,1026,1.080407060465255,0.036085777332283776,43,478.2125,46,503.325,11,0.6603327998891473,6000
mk01,independent,0.15,ablation,no-critical,1027,1.104692626297116,0.019246810861650077,43,469.1875,46,502.15,10,0.7194127000402659,6000
mk01,independent,0.15,ablation,no-critical,1028,1.083445910838616,0.03641488873882106,43,474.5625,46,506.2875,11,0.6530299000442028,6000
mk01,independent,0.15,ablation,no-critical,1029,1.1188137052597202,0.023395979364940964,42,470.525,46,505.75,11,0.7810517998877913,6000
mk01,independent,0.15,ablation,no-exchange,1000,1.0031360876471551,0.08384985899615446,43,492.375,46,513.225,7,0.7222786999773234,6000
mk01,independent,0.15,ablation,no-exchange,1001,1.0482469084485093,0.06927700200814918,42,488.8875,46,506.55,8,0.7446699000429362,6000
mk01,independent,0.15,ablation,no-exchange,1002,1.023367527204169,0.07519994247919513,42,488.8875,47,507.6375,11,0.7340041000861675,6000
mk01,independent,0.15,ablation,no-exchange,1003,1.0568030462730662,0.0619172477302715,42,485.95,47,509.425,10,0.8649716000072658,6000
mk01,independent,0.15,ablation,no-exchange,1004,1.038891346624902,0.0771885319061539,42,487.9875,45,518.0875,12,0.7956914000678807,6000
mk01,independent,0.15,ablation,no-exchange,1005,1.0128785202119923,0.08210589593593297,42,490.3,46,510.675,10,0.6528642999473959,6000
mk01,independent,0.15,ablation,no-exchange,1006,1.0539980107183684,0.06573819294467545,42,488.0125,47,502.5625,7,0.811761099845171,6000
mk01,independent,0.15,ablation,no-exchange,1007,1.028054660708719,0.06096336920703672,44,482.4,46,516.825,10,0.6973629000131041,6000
mk01,independent,0.15,ablation,no-exchange,1008,1.064907142114874,0.06052308327067551,42,481.875,47,509.75,9,0.7766950000077486,6000
mk01,independent,0.15,ablation,no-exchange,1009,1.053600896661273,0.07008738882037792,42,487.05,46,522.9625,13,0.7593447000253946,6000
mk01,independent,0.15,ablation,no-exchange,1010,1.0611831772093647,0.060435713741190014,42,484.7125,46,513.375,9,0.8705299000721425,6000
mk01,independent,0.15,ablation,no-exchange,1011,1.046565668561928,0.07243216965072742,42,487.675,46,515.325,10,0.7276280999649316,6000
mk01,independent,0.15,ablation,no-exchange,1012,1.0564838704888586,0.06676994168835004,42,484.05,46,515.5125,10,0.7630914999172091,6000
mk01,independent,0.15,ablation,no-exchange,1013,1.0011234987604107,0.06417350841726376,45,487.8375,46,510.25,7,0.7690105999354273,6000
mk01,independent,0.15,ablation,no-exchange,1014,1.0379247635872393,0.0649255908992992,43,480.65,46,514.8,12,0.746472200145945,6000
mk01,independent,0.15,ablation,no-exchange,1015,1.0342736895236118,0.07698713168159398,42,491.8,46,512.7,10,0.7693920999299735,6000
mk01,independent,0.15,ablation,no-exchange,1016,1.030638054660709,0.07420594950764739,42,493.9,47,509.625,10,0.7942661000415683,6000
mk01,independent,0.15,ablation,no-exchange,1017,1.0260803729160792,0.06870440966426594,43,487.0125,46,517.55,10,0.7920119999907911,6000
mk01,independent,0.15,ablation,no-exchange,1018,1.0423792699039505,0.06712808333144121,42,490.075,47,503.875,9,0.7546234000474215,6000
mk01,independent,0.15,ablation,no-exchange,1019,1.0378996748860623,0.08485139953961274,42,488.5125,50,502.7875,12,0.7102572000585496,6000
mk01,independent,0.15,ablation,no-exchange,1020,1.0406423598224495,0.06977986349921227,42,487.125,47,509.05,9,0.7462961999699473,6000
mk01,independent,0.15,ablation,no-exchange,1021,1.0436196018467663,0.06876493735391204,42,487.6125,46,514.5125,9,0.7819543001241982,6000
mk01,independent,0.15,ablation,no-exchange,1022,1.039609566366295,0.054767087399361265,44,480.9875,48,509.45,9,0.7987177001778036,6000
mk01,independent,0.15,ablation,no-exchange,1023,1.006971244488651,0.0730822048022692,44,484.9,47,514.275,8,0.8244731000158936,6000
